n_k,inv_n_k,theta_index,u_index,theta_deg,u_D_meV,trial_interpolation,branch_label,source_branch,cG,clean,selection_kind,chern_hf_vpplus_band_0,vpplus_band0_chern_rounded,vp_plus_direct_gap,vp_minus_direct_gap,vp_plus_clean,vp_minus_clean,unstable_rank,cG_all_intercept,cG_all_slope,cG_all_rmse,n_C1,n_C0,fit_cG
19,0.0526315789473684,37,21,3.85,10.5,linear_interaction,lowest_energy_clean,theta_down,0.01867879309669,True,clean,4.638308910467629e-17,0,9.311842478126517,9.311842447494511,True,True,5,0.0374181073111198,-0.5655204367239755,0.0113770326543143,3,4,0.00765387379933162
20,0.05,37,21,3.85,10.5,linear_interaction,lowest_energy_clean,theta_up,0.0185514450130977,True,clean,1.5461029701558764e-17,0,9.343433317904667,9.34343328354364,True,True,5,0.0374181073111198,-0.5655204367239755,0.0113770326543143,3,4,0.00914208547492103
21,0.0476190476190476,37,21,3.85,10.5,linear_interaction,lowest_energy_clean,theta_down,-0.001600488712136,True,clean,0.9999999999999994,1,3.1356686887437633,3.135668750520537,True,True,5,0.0374181073111198,-0.5655204367239755,0.0113770326543143,3,4,0.010488562705216208
22,0.0454545454545454,37,21,3.85,10.5,linear_interaction,lowest_energy_clean,theta_up,0.0217030123424812,True,clean,2.9375956432961653e-16,0,8.354297076100934,8.354297039403072,True,True,5,0.0374181073111198,-0.5655204367239755,0.0113770326543143,3,4,0.011712632914575465
23,0.0434782608695652,37,21,3.85,10.5,linear_interaction,lowest_energy_clean,theta_down,0.0217146752046801,True,clean,-5.742668174864683e-17,0,8.376854468675802,8.376854427672697,True,True,5,0.0374181073111198,-0.5655204367239755,0.0113770326543143,3,4,0.012830262236164347
24,0.0416666666666666,37,21,3.85,10.5,linear_interaction,lowest_energy_clean,u_D_down,-0.0003133012819052,True,clean,1.0000000000000009,1,2.4054768992930065,2.4054769780666376,True,True,5,0.0374181073111198,-0.5655204367239755,0.0113770326543143,3,4,0.013854755780954159
18,0.0555555555555555,19,11,2.95,5.5,linear_interaction,lowest_energy_clean,theta_up,-0.0086276343937322,True,clean,1.0,1,2.874786975485712,2.874789889040777,True,True,6,0.0827518637975784,-1.4151855777551796,0.0069484747283194,1,6,0.004130442811179538
19,0.0526315789473684,19,11,2.95,5.5,linear_interaction,lowest_energy_clean,theta_up,0.0181124996916924,True,clean,-1.435667043716171e-17,0,8.69879029760331,8.698789787572032,True,True,6,0.0827518637975784,-1.4151855777551796,0.0069484747283194,1,6,0.008268412336779468
20,0.05,19,11,2.95,5.5,linear_interaction,lowest_energy_clean,theta_up,0.0183111667600968,True,clean,-4.85918076334704e-17,0,8.65635521546416,8.656354647367372,True,True,6,0.0827518637975784,-1.4151855777551796,0.0069484747283194,1,6,0.011992584909819415
21,0.0476190476190476,19,11,2.95,5.5,linear_interaction,lowest_energy_clean,theta_down,0.0186471895701506,True,clean,-2.0375428428125655e-16,0,7.0494793662505515,7.049478755655265,True,True,6,0.0827518637975784,-1.4151855777551796,0.0069484747283194,1,6,0.015362074380665086
22,0.0454545454545454,19,11,2.95,5.5,linear_interaction,lowest_energy_clean,u_D_down,0.018756564630048,True,clean,-1.1706208202608776e-16,0,8.301538303468526,8.301537741634256,True,True,6,0.0827518637975784,-1.4151855777551796,0.0069484747283194,1,6,0.018425246626888422
23,0.0434782608695652,19,11,2.95,5.5,linear_interaction,lowest_energy_clean,u_D_down,0.0188991650721162,True,clean,1.380449080496318e-16,0,8.272485011678604,8.272484395426666,True,True,6,0.0827518637975784,-1.4151855777551796,0.0069484747283194,1,6,0.021222056069092332
