theta_deg,u_D_meV,selected_phase,selected_indirect_gap_meV,negative_indirect_gap,delta_E_ivc_minus_vp_meV_per_cell,energy_total_per_cell,vp_reference_energy_per_cell,branch_id,gap_family_label,run_id,indirect_gap,vp_reference_name,vp_reference_indirect_gap_meV,vp_plus_indirect_gap,vp_minus_indirect_gap
3.65,0.5,VP,4.117946605590072,False,0.7858175727786652,-26.70044786653721,-27.486265439315876,theta_up,single_gap,theta_up_theta_033_u_001_warm,-9.822061862071122,VP+,4.117946605590072,4.117946605590072,4.117946605523622
3.7,0.5,VP,3.047921741622158,False,0.7688509836651178,-26.37346248227325,-27.14231346593837,u_D_down,single_gap,u_D_down_theta_034_u_001_warm,-10.742754550933686,VP+,3.047921741622158,3.047921741622158,3.047921741566313
3.75,0.5,VP,1.9493121279595351,False,0.7523266847030996,-26.041783178051283,-26.794109862754382,u_D_down,single_gap,u_D_down_theta_035_u_001_warm,-11.69390306287298,VP+,1.9493121279595351,1.9493121279595351,1.949312127912492
3.8,0.5,VP,0.8222554098785331,False,0.7362275256993058,-25.70544298680391,-26.441670512503215,u_D_up,single_gap,u_D_up_theta_036_u_001_warm,-12.675306632356286,VP+,0.8222554098785331,0.8222554098785331,0.8222554098389896
3.85,0.5,VP,-0.3331092700244316,True,0.7205374492208279,-25.364473601523084,-26.085011050743912,u_D_up,single_gap,u_D_up_theta_037_u_001_warm,-13.686771237992048,VP+,-0.3331092700244316,-0.3331092700244316,-0.3331092700578146
3.9,0.5,VP,-1.516641542162832,True,0.7052414049596578,-25.018905336673065,-25.724146741632723,u_D_down,single_gap,u_D_down_theta_038_u_001_warm,-14.72810906896511,VP+,-1.516641542162832,-1.516641542162832,-1.5166415421910455
3.95,0.5,VP,-2.7282000838759064,True,0.6903252699887048,-24.668767100657643,-25.359092370646348,u_D_down,single_gap,u_D_down_theta_039_u_001_warm,-15.799138049698692,VP+,-2.7282000838759064,-2.7282000838759064,-2.7282000838997735
4.0,0.5,VP,-3.9676428980996103,True,0.6757757746970796,-24.31408637826199,-24.98986215295907,theta_up,single_gap,theta_up_theta_040_u_001_warm,-16.899681415975785,VP+,-3.9676428980996103,-3.9676428980996103,-3.967642898119721
2.0,1.0,VP,17.882148393668988,False,1.381431319518498,-35.122224929705894,-36.50365624922439,theta_up,single_gap,theta_up_theta_000_u_002_mixed_seed_7,14.806439310617463,VP+,17.882148393668988,17.882148393668988,17.88214842732048
2.05,1.0,VP,18.46005903841977,False,1.5123715531480357,-34.77539450779326,-36.287766060941294,theta_up,single_gap,theta_up_theta_001_u_002_warm,14.595105558209188,VP+,18.46005903841977,18.46005903841977,18.460059062753924
