b1,u1,cG_nk18,cG_nk19,cG_nk20,cG_nk21,cG_nk22,cG_nk_last_minus_first,cG_span_across_computed_n_k
0.06,-0.04,-0.07248718554923622,-0.07250258774340487,-0.07251699696564377,-0.07253032077955984,-0.07254254725346071,-5.536170422448805e-05,5.536170422448805e-05
0.06,-0.02,-0.0724665605330703,-0.07248410560329008,-0.07250031591901861,-0.07251516536945349,-0.07252869373148875,-6.213319841845422e-05,6.213319841845422e-05
0.06,0,-0.07244897087178447,-0.07246830846298639,-0.07248602400175927,-0.07250214776943364,-0.07251676331006793,-6.779243828346215e-05,6.779243828346215e-05
0.06,0.02,-0.07243356504890046,-0.07245444117135408,-0.0724734482726799,-0.07249066543566168,-0.07250621397273754,-7.264892383708477e-05,7.264892383708477e-05
0.06,0.04,-0.0724197685472861,-0.07244199547500482,-0.07246213664579107,-0.0724803141217866,-0.07249668242131195,-7.691387402584959e-05,7.691387402584959e-05
0.06,0.06,-0.07240718878497607,-0.07243062469444603,-0.07245178115352724,-0.07247081869411516,-0.0724879215282746,-8.073274329853386e-05,8.073274329853386e-05
0.06,0.08,-0.07239555474225905,-0.072420089813029,-0.07244216966091721,-0.0724619897428474,-0.07247976121508654,-8.420647282748883e-05,8.420647282748883e-05
0.06,0.1,-0.07238467777189367,-0.07241022461949075,-0.07243315474384161,-0.07245369568556956,-0.07247208334762523,-8.740557573155838e-05,8.740557573155838e-05
0.08,-0.1,-0.07257614468388904,-0.07258208665098027,-0.07258849685742343,-0.07259501369060596,-0.07260141141239816,-2.526672850912404e-05,2.526672850912404e-05
0.08,-0.08,-0.07253776296888875,-0.07254781101783649,-0.07255770432318634,-0.07256719283242727,-0.07257614030941362,-3.837734052486441e-05,3.837734052486441e-05
0.08,-0.06,-0.07250794230597069,-0.07252116642971471,-0.07253374138844502,-0.07254550920054412,-0.07255640649867033,-4.846419269964597e-05,4.846419269964597e-05
0.08,-0.04,-0.07248391604838364,-0.07249966786000149,-0.07251437075788231,-0.07252794315094296,-0.07254038156965864,-5.646552127500093e-05,5.646552127500093e-05
0.08,-0.02,-0.07246390317168833,-0.07248172474728787,-0.07249816715793386,-0.07251321298828542,-0.07252690877281912,-6.30056011307889e-05,6.30056011307889e-05
0.08,0,-0.07244673382341343,-0.07246629678024234,-0.07248420155248003,-0.07250048551233168,-0.07251523770681312,-6.850388339968427e-05,6.850388339968427e-05
0.08,0.02,-0.07243162596781301,-0.07245269070137435,-0.07247185634710457,-0.07248920786698081,-0.0725048711393329,-7.324517151989507e-05,7.324517151989507e-05
0.08,0.04,-0.07241804896738971,-0.07244043719753024,-0.07246071417388929,-0.07247900690296935,-0.07249547375234021,-7.742478495049998e-05,7.742478495049998e-05
0.08,0.06,-0.07240563829325708,-0.07242921441216987,-0.07245048914789752,-0.07246962723384726,-0.07248681616587363,-8.117787261655018e-05,8.117787261655018e-05
0.08,0.08,-0.07239414098723213,-0.07241879927403377,-0.07244098329545043,-0.07246089209856263,-0.07247873966068259,-8.459867345046723e-05,8.459867345046723e-05
