n_k,b_index,u_index,b1,u1,status,response_status,cG,path_indirect_gap_min_mev,negative_path_indirect_gap,hf_all_converged,hf_nonconverged,reference_chern_valid,invalid_reference_chern,chern_vp_plus,chern_vp_minus,chern_ivc,vp_plus_gap_mev,vp_minus_gap_mev,ivc_gap_mev,any_reference_direct_gap_nonpositive,invalid_chern_with_nonpositive_reference_direct_gap
21,12,6,0.02,-0.04,nonconverged_hf,skipped_nonconverged_hf,nan,nan,False,False,True,True,False,0.9999999999999983,-0.9999999999999983,6.157859138692057e-06,25.27104104107524,25.271041041075232,2.1664020649592395,False,False
21,12,7,0.02,-0.03,ok,ok,-0.06700729043307703,0.5577709577175306,False,True,False,True,False,0.9999999999999999,-0.9999999999999996,-2.7726233641745942e-11,25.49607655196206,25.496076551962066,2.0855415426694206,False,False
21,12,8,0.02,-0.02,ok,ok,-0.07440413071421828,0.2563241375358663,False,True,False,True,False,0.9999999999999991,-0.9999999999999993,3.5967846769362734e-05,25.71254559904409,25.712545599044084,2.1464739818299625,False,False
21,12,9,0.02,-0.01,ok,ok,-0.0720325900851716,0.9139607261499453,False,True,False,True,False,0.9999999999999994,-0.9999999999999996,-5.5292099386516e-05,25.920801682460446,25.920801682460443,2.3706180666392798,False,False
21,12,10,0.02,0.0,ok,ok,-0.06874700089591429,1.0064069529846327,False,True,False,True,False,0.9999999999999989,-0.9999999999999989,-6.923073829559511e-05,25.97737130350023,25.977371303500227,2.613216244973978,False,False
21,12,11,0.02,0.01,ok,ok,-0.08140694047124214,0.24068059230387326,False,True,False,True,False,0.9999999999999994,-0.9999999999999994,7.872293347609291e-05,25.882019708784558,25.88201970878455,2.531728116765374,False,False
21,12,12,0.02,0.02,ok,ok,-0.06338785257080345,0.9741586382426339,False,True,False,True,False,1.0000000000000002,-1.0000000000000004,3.5620641382407764e-05,25.790288211680167,25.79028821168017,2.801960925702617,False,False
21,12,13,0.02,0.03,ok,ok,-0.06327132063960161,0.8279126979550776,False,True,False,True,False,0.9999999999999996,-0.9999999999999994,3.097155321377374e-05,25.702073091102594,25.702073091102584,2.859140944183155,False,False
21,12,14,0.02,0.04,invalid_reference_chern,skipped_invalid_reference_chern,nan,nan,False,True,False,False,True,1.0000000000000002,-0.9999999999999997,2.938829833116218,25.617269580309763,25.617269580309763,0.9463441715513367,False,False
21,12,15,0.02,0.05,invalid_reference_chern,skipped_invalid_reference_chern,nan,nan,False,True,False,False,True,0.9999999999999997,-0.9999999999999999,-2.9442304547621267,25.53577221350795,25.53577221350794,0.9072581787953699,False,False
21,12,16,0.02,0.06,ok,ok,-0.06477416929518781,0.8379781306027623,False,True,False,True,False,0.9999999999999999,-1.0000000000000002,0.0011936089258470694,25.457475165058412,25.457475165058415,0.8706581459123345,False,False
21,12,17,0.02,0.07,invalid_reference_chern,skipped_invalid_reference_chern,nan,nan,False,True,False,False,True,1.0000000000000002,-1.0000000000000002,-0.06992356957465863,25.382272578565694,25.382272578565697,0.8363200008025481,False,False
21,12,18,0.02,0.08,invalid_reference_chern,skipped_invalid_reference_chern,nan,nan,False,True,False,False,True,1.0,-1.0,-2.044592229664999,25.310058883343704,25.31005888334369,0.8040450814887677,False,False
21,12,19,0.02,0.09,invalid_reference_chern,skipped_invalid_reference_chern,nan,nan,False,True,False,False,True,0.9999999999999999,-0.9999999999999999,2.0646007623473586,25.240729096014206,25.24072909601421,0.7736567401355784,False,False
21,12,20,0.02,0.1,nonconverged_hf,skipped_nonconverged_hf,nan,nan,False,False,True,True,False,1.0000000000000002,-1.0,-3.740068320169234e-07,25.174179105284352,25.17417910528436,0.7440032061178992,False,False
21,13,0,0.03,-0.1,ok,ok,-0.05722317652823292,0.37965667657180363,False,True,False,True,False,0.9999999999999996,-0.9999999999999994,-1.0084007219187608e-16,23.79272348114593,23.792723481145927,0.3796930704570958,False,False
21,13,1,0.03,-0.09,ok,ok,-0.05730109355481222,0.32984890780502313,False,True,False,True,False,1.0000000000000004,-1.0000000000000007,9.938574437452494e-18,24.074718733085565,24.074718733085565,0.32984778354091954,False,False
21,13,2,0.03,-0.08,ok,ok,-0.0561713379465145,0.981979618583727,False,True,False,True,False,0.9999999999999999,-0.9999999999999997,-6.777617393906312e-11,24.345585342523574,24.345585342523574,1.9387082950936674,False,False
21,13,3,0.03,-0.07,ok,ok,-0.05743339441564077,0.24391102300366982,False,True,False,True,False,0.9999999999999997,-1.0,-1.1759366601010172e-17,24.605858410350503,24.6058584103505,0.24382634693682775,False,False
